Year,GWL_depth,Rainfall,Tmean,Tmax,Tmin
1993,10.902805899143672,1177.403246377443,24.77030212719952,32.57756201996928,20.864861559139783
1994,9.741644613050076,1393.5968145049474,24.6036024087351,32.42784299795187,20.73981189196109
1995,8.886287094763093,1211.4807738265556,24.891905049881917,33.09704365079365,21.103028353814643
1996,11.680349734042553,1526.8414731953264,24.6624608896173,32.66987974292424,20.68923881473242
1997,10.871964229186453,1303.8535791470908,24.91737640111898,32.73449103942652,21.384905913978496
1998,9.26677100494234,1295.9669631176678,25.403096507853327,32.778691628264205,21.59951235279058
1999,10.145208603417794,1148.8575855659883,24.541784028904843,32.67929889912954,20.713269265232974
2000,10.612358981693363,1231.5957681600785,24.74455318123723,32.80219200346064,21.03376866271165
2001,12.05781495490253,1072.162098041916,24.92550598643616,32.88110362263185,21.30355600358423
2002,13.545969240426867,905.44239393356,25.41113026013275,33.72822068612391,21.408833141321043
2003,14.671292910447761,1139.6329915439785,25.16677481303053,33.59719591653866,21.692178443420374
2004,15.430444093493367,1435.136935218822,24.72509202005803,32.327494067482384,20.82259668149796
2005,12.667585332230493,1529.4090246767269,25.158128274782268,32.18231714029698,21.371443420378903
2006,9.55166700662927,1230.881983681416,24.992095811156823,32.24748681515617,20.81878821044547
2007,10.24884639580603,1619.636002126648,24.892055126885875,32.59033211725551,20.950279313876088
2008,9.63560389768575,1487.466342819407,24.80617135612249,32.05791836608577,20.513318934618717
2009,11.338742305813385,1475.811519198004,25.395168259478996,33.224335893497184,21.19884709421403
2010,11.779697979125027,1757.328911937138,25.393129709241343,32.699566820276495,21.61883000512033
2011,10.300571325907294,1693.9814090295586,24.781500542932413,32.51118958013313,20.672566820276497
2012,11.751875710804226,1223.2199858209883,25.36851415834144,33.6448336114201,21.37159136695093
2013,15.174400412632915,1318.0494998733318,25.323760662259307,33.34870314900154,21.573654953917053
2014,14.766741979993101,1327.9081267528525,25.78162619744807,33.30255536354327,21.53091308243728
2015,11.429311425061426,1580.3083916837277,25.451260178618707,32.922259344598054,21.27294284434204
2016,12.968383277298642,963.754833675921,25.977541076063133,34.636338524286245,21.789370195278707
2017,16.88030568246716,1441.9056536023354,25.624235764919156,32.92675134408602,21.37154371479775
2018,14.199007070859032,1311.766011857016,25.299245881705332,33.29461763952893,21.239217421915004
2019,12.308136961014544,1446.5480650984505,25.777831654681997,33.417604518689195,21.91888556067589
2020,11.674783803467824,383.949932837209,26.45817076019127,32.85455311457175,21.67399755901619
2021,10.38086064023118,1213.8866666666663,25.751919855234377,31.652530027618734,21.109752265357105
2022,7.861335103342422,1004.43,25.872292316405225,31.99130994274543,21.051536905149806
2023,8.936971622014383,768.5166666666668,26.87155387981194,33.6672762882279,21.51247109730174
2024,9.849512426375522,1087.18,26.93008237547893,33.0634961994809,21.992928747991595
2025,9.060457938558715,741.0300000000001,26.30480465949821,32.79758000512033,21.30252502560164
