Year,GWL_depth,Rainfall,Tmean,Agriculture,Barren,Built_up,Forest,Grassland,Water,GWL_pred,Climate_Impact,LULC_Impact
2001,12.05781495490253,1072.162098041916,24.92550598643616,69.51850766676432,0.01953315753491552,1.6017189178630726,17.30637757593515,11.514796366832698,0.03906631506983104,10.813519693643526,-17.037169246248876,106.80355205536517
2002,13.545969240426867,905.44239393356,25.41113026013275,70.00683660513721,0.01953315753491552,1.6066022072468016,18.00957124719211,10.32815704658658,0.02929973630237328,11.445434305460957,-17.147125756750654,107.54542317768438
2003,14.67129291044776,1139.6329915439785,25.16677481303053,70.4951655435101,0.01953315753491552,1.6114854966305303,18.712764918449068,9.141517726340464,0.01953315753491552,12.064796666888984,-17.26963451764183,108.28729430000358
2004,15.430444093493367,1435.136935218822,24.72509202005803,70.983494481883,0.01953315753491552,1.616368786014259,19.415958589706026,7.954878406094346,0.009766578767457762,12.736447798300729,-17.33985450854932,109.02916542232282
2005,12.667585332230493,1529.4090246767269,25.158128274782268,71.47182342025589,0.01953315753491552,1.621252075397988,20.119152260962984,6.768239085848228,0.0,13.092824869892446,-17.725348559276814,109.77103654464202
2006,9.55166700662927,1230.881983681416,24.992095811156823,71.34095126477196,0.02148647328840707,1.6290653384119542,20.39066315069831,6.613927141322396,0.003906631506983105,13.364240492801098,-17.267093674063144,109.584197282337
2007,10.24884639580603,1619.636002126648,24.892055126885875,71.21007910928802,0.023439789041898626,1.6368786014259205,20.662174040433634,6.4596151967965625,0.00781326301396621,12.780714975868392,-17.663779928690797,109.39735802003196
2008,9.63560389768575,1487.466342819407,24.80617135612249,71.07920695380409,0.025393104795390177,1.6446918644398867,20.933684930168962,6.30530325227073,0.011719894520949311,12.80459173871886,-17.453063903535327,109.21051875772694
2009,11.338742305813383,1475.811519198004,25.395168259479,70.94833479832015,0.027346420548881728,1.652505127453853,21.205195819904286,6.1509913077448966,0.01562652602793242,12.258926301718612,-17.811890078230512,109.0236794954219
2010,11.779697979125029,1757.328911937138,25.393129709241343,70.81746264283622,0.02929973630237328,1.6603183904678191,21.47670670963961,5.996679363219064,0.01953315753491552,11.74028452134871,-18.14369259629541,108.83684023311689
2011,10.300571325907294,1693.9814090295586,24.781500542932413,69.82736548113397,0.026556849842986868,2.84397613781263,20.759376406793752,6.499301487420736,0.04342363699592511,12.265813317563348,-17.68180564672461,108.90048207976072
2012,11.751875710804226,1223.2199858209883,25.36851415834144,68.83726831943173,0.023813963383600457,4.0276338851574405,20.042046103947893,7.001923611622408,0.06731411645693469,12.515099880821449,-17.496160930110385,108.9641239264046
2013,15.174400412632917,1318.0494998733318,25.323760662259307,67.84717115772948,0.021071076924214047,5.211291632502251,19.324715801102037,7.504545735824081,0.09120459591794429,12.494851516987996,-17.580051140587663,109.02776577304843
2014,14.7667419799931,1327.9081267528525,25.78162619744807,66.85707399602722,0.018328190464827632,6.394949379847062,18.60738549825618,8.007167860025753,0.11509507537895387,12.25716984779866,-17.881374656420853,109.09140761969228
2015,11.429311425061426,1580.3083916837277,25.451260178618707,65.86697683432497,0.01558530400544122,7.578607127191873,17.89005519541032,8.509789984227424,0.13898555483996347,12.231169938629808,-17.971016412233528,109.15504946633611
2016,12.968383277298642,963.754833675921,25.977541076063133,64.87687967262274,0.01284241754605481,8.762264874536683,17.17272489256446,9.012412108429096,0.16287603430097305,12.691379406579639,-17.574448790927583,109.21869131297998
2017,16.88030568246716,1441.9056536023354,25.62423576491916,63.88678251092048,0.010099531086668398,9.945922621881495,16.4553945897186,9.51503423263077,0.18676651376198264,12.412782860975375,-17.916687183175682,109.28233315962382
2018,14.199007070859032,1311.766011857016,25.29924588170533,63.39336459984517,0.007576723216825885,10.23309449706087,17.487938239118577,8.514900904527074,0.3631250362314875,12.40645639179462,-17.55710775259602,108.9164272598634
2019,12.308136961014544,1446.5480650984505,25.777831654682,62.89994668876985,0.005053915346983372,10.520266372240245,18.52048188851855,7.5147675764233774,0.5394835587009923,11.578309018510206,-18.019349226119967,108.55052136010295
2020,11.674783803467824,383.949932837209,26.45817076019127,62.40652877769454,0.0025311074771408575,10.80743824741962,19.553025537918526,6.514634248319681,0.7158420811704972,12.039270317809004,-17.19248202706075,108.18461546034251
2021,10.38086064023118,1213.8866666666663,25.751919855234377,61.593372471708335,0.0022493191570256686,11.503831947098274,20.055260435165952,6.11719800666766,0.7280878202027596,11.194161585875884,-17.727671070322387,107.87469577167104
2022,7.861335103342422,1004.43,25.872292316405225,60.78021616572212,0.0019675308369104796,12.200225646776929,20.557495332413378,5.719761765015639,0.7403335592350221,11.05592056559982,-17.555992401926964,107.56477608299956
2023,8.936971622014383,768.5166666666668,26.87155387981194,59.96705985973592,0.0016857425167952904,12.89661934645558,21.059730229660808,5.322325523363618,0.7525792982672844,10.392972901846168,-17.909020377009146,107.25485639432809
2024,9.849512426375522,1087.18,26.93008237547893,59.15390355374971,0.0014039541966801013,13.593013046134235,21.561965126908234,4.9248892817115975,0.7648250372995469,9.66898307876712,-18.32309051141671,106.9449367056566
2025,9.060457938558717,741.0300000000001,26.30480465949821,58.3407472477635,0.0011221658765649123,14.289406745812888,22.06420002415566,4.5274530400595765,0.7770707763318093,10.164197502385957,-17.517956399126412,106.63501701698513
